GUID e0db8c3f89b940ff91695c5e71f163b9

Type Gun
Rarity Mythical
Useable Gun
Slot Secondary
ID 38504

Size_X 2
Size_Y 1
Size_Z 0.2
Size2_Z 0.45

Magazine 38603
Tactical 151

Ammo_Min 40
Ammo_Max 40

Safety
Semi
Auto
Bursts 5

Caliber 3810

Range 250
Firerate 4
Action Trigger

Player_Damage 45
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 60
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 75
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 5
Resource_Damage 5
Object_Damage 5

Durability 0.05

Spread_Aim 0.2
Spread_Hip 0.2

Recoil_Min_X -1.5
Recoil_Min_Y -1.5
Recoil_Max_X 1.5
Recoil_Max_Y 1.5

Recover_X 0.85
Recover_Y 0.85

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Invulnerable

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38504
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27

Exclude_From_Master_Bundle
