GUID e964932d8f5d441b948131bcdb2b1e56

Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 38502

Size_X 4
Size_Y 2
Size_Z 0.45
Size2_Z 0.75

Sight 38503
Magazine 38601

Hook_Tactical
Hook_Grip

Ammo_Min 80
Ammo_Max 160

Safety
Auto
Semi
Bursts 4

Caliber 3808

Range 300
Firerate 6
Action Trigger

Player_Damage 55
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 1.2

Zombie_Damage 120
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 80
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 25
Vehicle_Damage 20
Resource_Damage 25
Object_Damage 25

Invulnerable

Durability 0.125

Spread_Aim 0.01
Spread_Hip 0.1

Recoil_Min_X 2
Recoil_Min_Y 2
Recoil_Max_X 2
Recoil_Max_Y 2

Recover_X 0.8
Recover_Y 0.8

Shake_Min_X -0.008
Shake_Min_Y 0.008
Shake_Min_Z -0.02
Shake_Max_X 0.008
Shake_Max_Y -0.008
Shake_Max_Z -0.04

Muzzle 3

Invulnerable

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 9
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38502
Blueprint_1_Product 67
Blueprint_1_Products 10
Blueprint_1_Build 27

Exclude_From_Master_Bundle
