GUID d879e5be1fb0400b95b6d7b451589105

Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 38507

Size_X 2
Size_Y 2
Size_Z 0.5
Size2_Z 0.5

Magazine 38605
Tactical 151

Ammo_Min 3
Ammo_Max 3

Safety
Semi
Bursts 3

Caliber 3812

Range 750
Firerate 8
Action Trigger
Shell 0

Player_Damage 100
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 125
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 30
Vehicle_Damage 50
Resource_Damage 40
Object_Damage 50

Durability 0.6

Invulnerable

Ballistic_Steps 24
Ballistic_Travel 12.5
Ballistic_Drop 0

Spread_Aim 0.05
Spread_Hip 0.2

Recoil_Min_X -5
Recoil_Min_Y 15
Recoil_Max_X -10
Recoil_Max_Y 20

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 42

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38507
Blueprint_1_Product 67
Blueprint_1_Products 10
Blueprint_1_Build 27

Exclude_From_Master_Bundle
